worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":119,"unmatched":206,"nonMadrid":0,"invalid":0,"responseBytes":28201,"responseDurationMs":7,"timestamp":"2026-08-20T06:54:28.259Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":11,"unmatched":0,"nonMadrid":76,"invalid":0,"responseBytes":64973,"responseDurationMs":8,"timestamp":"2026-08-20T06:54:30.078Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":203,"nonMadrid":0,"invalid":0,"responseBytes":14496,"responseDurationMs":43,"timestamp":"2026-08-20T06:54:56.866Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":199,"nonMadrid":0,"invalid":0,"responseBytes":17046,"responseDurationMs":12,"timestamp":"2026-08-20T06:54:57.560Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":120,"unmatched":199,"nonMadrid":0,"invalid":0,"responseBytes":22833,"responseDurationMs":37,"timestamp":"2026-08-20T06:55:27.145Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":120,"unmatched":195,"nonMadrid":0,"invalid":0,"responseBytes":27351,"responseDurationMs":7,"timestamp":"2026-08-20T06:55:28.260Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":12,"unmatched":0,"nonMadrid":76,"invalid":0,"responseBytes":65300,"responseDurationMs":8,"timestamp":"2026-08-20T06:55:30.587Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":121,"unmatched":203,"nonMadrid":0,"invalid":0,"responseBytes":23231,"responseDurationMs":35,"timestamp":"2026-08-20T06:55:57.641Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":121,"unmatched":199,"nonMadrid":0,"invalid":0,"responseBytes":27977,"responseDurationMs":6,"timestamp":"2026-08-20T06:55:59.255Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":121,"unmatched":199,"nonMadrid":0,"invalid":0,"responseBytes":22915,"responseDurationMs":34,"timestamp":"2026-08-20T06:56:27.620Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":121,"unmatched":195,"nonMadrid":0,"invalid":0,"responseBytes":27496,"responseDurationMs":7,"timestamp":"2026-08-20T06:56:29.152Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":12,"unmatched":0,"nonMadrid":76,"invalid":0,"responseBytes":65300,"responseDurationMs":10,"timestamp":"2026-08-20T06:56:31.380Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":210,"nonMadrid":0,"invalid":0,"responseBytes":14962,"responseDurationMs":43,"timestamp":"2026-08-20T06:56:57.359Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":205,"nonMadrid":0,"invalid":0,"responseBytes":17531,"responseDurationMs":9,"timestamp":"2026-08-20T06:56:58.521Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
